id,name,dt,color,operator,altRelGEO,lon
19548,TDRS 3,0,blue,US,-17.425468911889766,310.0746584390126
19548,TDRS 3,180,blue,US,-111.26462566844566,311.4369998044651
19548,TDRS 3,360,blue,US,-139.32879030268668,312.0574934977767
19548,TDRS 3,540,blue,US,-84.87701156867115,311.1067887645041
19548,TDRS 3,720,blue,US,19.62504073036689,310.8504990505004
19548,TDRS 3,900,blue,US,112.46562658629409,311.925740279621
19548,TDRS 3,1080,blue,US,139.414362305979,311.9467941325629
19548,TDRS 3,1260,blue,US,84.80825017423922,310.4990571809669
19548,TDRS 3,1439,blue,US,-19.00956105426303,310.0844432535593
20253,FLTSATCOM 8 (USA 46),0,blue,US,2.669117739344074,72.05567777546551
20253,FLTSATCOM 8 (USA 46),180,blue,US,-12.427236640833144,71.1439503727268
20253,FLTSATCOM 8 (USA 46),360,blue,US,-20.06800782748178,71.69300071629765
20253,FLTSATCOM 8 (USA 46),540,blue,US,-15.725177868269384,72.66150312379278
20253,FLTSATCOM 8 (USA 46),720,blue,US,-1.9763351725123357,72.1493260240427
20253,FLTSATCOM 8 (USA 46),900,blue,US,13.050583414151333,71.22492998357721
20253,FLTSATCOM 8 (USA 46),1080,blue,US,20.526275465643266,71.71638624205794
20253,FLTSATCOM 8 (USA 46),1260,blue,US,16.080323396607128,72.59285341867616
20253,FLTSATCOM 8 (USA 46),1439,blue,US,2.3997185836269637,72.03393549044134
20776,SKYNET 4C,0,gray,Other,11.676266592359752,34.32016838727227
20776,SKYNET 4C,180,gray,Other,7.210998704453232,33.49315882986206
20776,SKYNET 4C,360,gray,Other,-0.7624994819125277,32.57617126439383
20776,SKYNET 4C,540,gray,Other,-7.541092748455412,33.39764688150702
20776,SKYNET 4C,720,gray,Other,-9.11895936459041,34.32342480616845
20776,SKYNET 4C,900,gray,Other,-4.596624181045627,33.51676224825818
20776,SKYNET 4C,1080,gray,Other,3.3287836194431293,32.62325327948
20776,SKYNET 4C,1260,gray,Other,10.001702819034108,33.437030936481364
20776,SKYNET 4C,1439,gray,Other,11.51833670380438,34.30409091645902
21639,TDRS 5,0,blue,US,6.940581659546297,193.92916005967797
21639,TDRS 5,180,blue,US,87.21143119156477,194.00049102384926
21639,TDRS 5,360,blue,US,118.5622977424282,192.5231619068854
21639,TDRS 5,540,blue,US,82.73094396194938,192.09079668645867
21639,TDRS 5,720,blue,US,0.5997792505004327,193.27672374862445
21639,TDRS 5,900,blue,US,-79.6942995181962,193.54663041501948
21639,TDRS 5,1080,blue,US,-110.68747193642048,192.50502141839516
