id,name,dt,color,operator,altRelGEO,lon
19548,TDRS 3,0,gray,US,-17.4254689118898,310.074658439013
19548,TDRS 3,180,gray,US,-111.264625668446,311.436999804465
19548,TDRS 3,360,gray,US,-139.328790302687,312.057493497777
19548,TDRS 3,540,gray,US,-84.8770115686711,311.106788764504
19548,TDRS 3,720,gray,US,19.6250407303669,310.8504990505
19548,TDRS 3,900,gray,US,112.465626586294,311.925740279621
19548,TDRS 3,1080,gray,US,139.414362305979,311.946794132563
19548,TDRS 3,1260,gray,US,84.8082501742392,310.499057180967
19548,TDRS 3,1439,gray,US,-19.009561054263,310.084443253559
20253,FLTSATCOM 8 (USA 46),0,gray,other,2.66911773934407,72.0556777754655
20253,FLTSATCOM 8 (USA 46),180,gray,other,-12.4272366408331,71.1439503727268
20253,FLTSATCOM 8 (USA 46),360,gray,other,-20.0680078274818,71.6930007162977
20253,FLTSATCOM 8 (USA 46),540,gray,other,-15.7251778682694,72.6615031237928
20253,FLTSATCOM 8 (USA 46),720,gray,other,-1.97633517251234,72.1493260240427
20253,FLTSATCOM 8 (USA 46),900,gray,other,13.0505834141513,71.2249299835772
20253,FLTSATCOM 8 (USA 46),1080,gray,other,20.5262754656433,71.7163862420579
20253,FLTSATCOM 8 (USA 46),1260,gray,other,16.0803233966071,72.5928534186762
20253,FLTSATCOM 8 (USA 46),1439,gray,other,2.39971858362696,72.0339354904413
20776,SKYNET 4C,0,gray,UK,11.6762665923598,34.3201683872723
20776,SKYNET 4C,180,gray,UK,7.21099870445323,33.4931588298621
20776,SKYNET 4C,360,gray,UK,-0.762499481912528,32.5761712643938
20776,SKYNET 4C,540,gray,UK,-7.54109274845541,33.397646881507
20776,SKYNET 4C,720,gray,UK,-9.11895936459041,34.3234248061684
20776,SKYNET 4C,900,gray,UK,-4.59662418104563,33.5167622482582
20776,SKYNET 4C,1080,gray,UK,3.32878361944313,32.62325327948
20776,SKYNET 4C,1260,gray,UK,10.0017028190341,33.4370309364814
20776,SKYNET 4C,1439,gray,UK,11.5183367038044,34.304090916459
21639,TDRS 5,0,gray,US,6.9405816595463,193.929160059678
21639,TDRS 5,180,gray,US,87.2114311915648,194.000491023849
21639,TDRS 5,360,gray,US,118.562297742428,192.523161906885
21639,TDRS 5,540,gray,US,82.7309439619494,192.090796686459
21639,TDRS 5,720,gray,US,0.599779250500433,193.276723748624
21639,TDRS 5,900,gray,US,-79.6942995181962,193.546630415019
21639,TDRS 5,1080,gray,US,-110.68747193642,192.505021418395
21639,TDRS 5,1260,gray,US,-73.937657939663,192.538048606618
21639,TDRS 5,1439,gray,US,8.20768333033629,193.895524151808
22314,TDRS 6,0,gray,US,30.9708355646362,313.45143429124
22314,TDRS 6,180,gray,US,37.2288981799356,314.277968677694
22314,TDRS 6,360,gray,US,21.8149063745514,315.046759880737
22314,TDRS 6,540,gray,US,-6.24053594831639,314.123257318208
22314,TDRS 6,720,gray,US,-30.4476360571134,313.332718100896
22314,TDRS 6,900,gray,US,-36.4950854442213,314.32778816694
22314,TDRS 6,1080,gray,US,-20.7823125836221,315.21022519324
22314,TDRS 6,1260,gray,US,7.39203130651731,314.300075681531
22314,TDRS 6,1439,gray,US,31.321710577693,313.445867038724
22787,UFO 2 (USA 95),0,gray,other,21.443540591863,29.5378200507939
22787,UFO 2 (USA 95),180,gray,other,15.6392393787464,29.3071090955097
22787,UFO 2 (USA 95),360,gray,other,2.19128961687966,28.521715991957
22787,UFO 2 (USA 95),540,gray,other,-10.9955368390874,28.7202497729598
22787,UFO 2 (USA 95),720,gray,other,-16.1432183312063,29.5282229549407
22787,UFO 2 (USA 95),900,gray,other,-10.2307232741296,29.3550616268015
22787,UFO 2 (USA 95),1080,gray,other,3.22635567934049,28.6010679494892
22787,UFO 2 (USA 95),1260,gray,other,16.297005638713,28.7826577910655
22787,UFO 2 (USA 95),1439,gray,other,21.3066011697374,29.5105635160058
22988,USA 99 (MILSTAR-1 1),0,gray,other,38.7370617830602,292.27359215822
22988,USA 99 (MILSTAR-1 1),180,gray,other,44.6358705095117,291.020192204656
22988,USA 99 (MILSTAR-1 1),360,gray,other,48.0592143360482,291.319514783738
22988,USA 99 (MILSTAR-1 1),540,gray,other,47.0354939302197,292.445008691208
22988,USA 99 (MILSTAR-1 1),720,gray,other,42.1625754666457,291.967111300162
22988,USA 99 (MILSTAR-1 1),900,gray,other,36.2773908328163,290.721688147165
22988,USA 99 (MILSTAR-1 1),1080,gray,other,32.8529274683096,291.056785980335
22988,USA 99 (MILSTAR-1 1),1260,gray,other,33.9383334060112,292.211353498583
22988,USA 99 (MILSTAR-1 1),1439,gray,other,38.859606750877,291.747935806057
23331,ASTRA 1D,0,gray,other,1.93319012882421,287.099593776052
23331,ASTRA 1D,180,gray,other,11.7377164344289,286.616596368297
23331,ASTRA 1D,360,gray,other,14.026269230395,286.812473730551
23331,ASTRA 1D,540,gray,other,7.47270065680641,287.255920748938
23331,ASTRA 1D,720,gray,other,-4.06840584851307,287.019660974815
23331,ASTRA 1D,900,gray,other,-13.8092377883877,286.575387782472
23331,ASTRA 1D,1080,gray,other,-15.9970600511151,286.842193589057
23331,ASTRA 1D,1260,gray,other,-9.3235094177071,287.33445447537
23331,ASTRA 1D,1439,gray,other,2.21155200870999,287.103774677446
23435,USA 107 (DSP 17),0,gray,other,-0.949875822923786,263.701840875502
23435,USA 107 (DSP 17),180,gray,other,8.43914764363581,262.675185580871
23435,USA 107 (DSP 17),360,gray,other,12.7861403000788,263.497792384869
